data,model,phonol_emb,fixed_emb,emsize,nhid,nlayers,lr,anneal_factor,anneal_train,patience,clip,epochs,dropout,tied,seed,cuda,stress,log_interval,save_dir,summary,condition,run,feat_tree,alphabet,set_unset_nodes,random_reset,dropout:,epoch,train_loss,val_loss,val_ppl,epoch_time,current_lr,run_cond
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,1,2.2856,2.5766,13.152128700476386,152.87791562080383,1.0,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,2,2.1543,2.3978,10.99914576102662,154.76326537132263,1.0,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,3,2.1187,2.3056,10.02985427007485,150.2888777256012,1.0,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,4,2.0962,2.2860,9.835200390188492,148.56958866119385,1.0,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,5,2.0807,2.2608,9.590691289011962,152.7817997932434,1.0,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,6,2.0675,2.2141,9.152963540952467,146.43517470359802,1.0,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,7,2.0573,2.2478,9.466665627707888,153.52173733711243,1.0,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,8,1.9746,2.1341,8.449637692025508,153.61005878448486,0.25,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,9,1.9529,2.1353,8.459643841285763,149.99058318138123,0.25,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,10,1.9212,2.1125,8.269011493477564,146.65906500816345,0.0625,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,11,1.9123,2.1073,8.225797459993496,148.31761527061462,0.0625,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,12,1.9067,2.0984,8.153305933259915,156.5248260498047,0.0625,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,13,1.9015,2.1005,8.170013350083421,153.8641574382782,0.0625,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,14,1.8908,2.0958,8.132210856881287,155.1726701259613,0.015625,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,15,1.8873,2.0935,8.113187620093964,145.42244696617126,0.015625,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,16,1.8860,2.0965,8.137414509664916,151.73912000656128,0.015625,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,17,1.8829,2.0925,8.104833663898829,152.13450479507446,0.00390625,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,18,1.8812,2.0920,8.101170769663836,154.56107378005981,0.00390625,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,19,1.8829,2.0908,8.091293465918486,155.9579939842224,0.00390625,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,20,1.8805,2.0908,8.091160358099664,158.4162814617157,0.00390625,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,21,1.8809,2.0902,8.086298601201667,156.76390385627747,0.0009765625,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,22,1.8807,2.0900,8.085078317506193,156.3492500782013,0.0009765625,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,23,1.8795,2.0899,8.084411384037189,154.29152941703796,0.000244140625,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,24,1.8801,2.0898,8.083561412743165,153.46282815933228,0.000244140625,0-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/0-0,results/grid_lr/summary_grid_lr.csv,0,0,Futrell,IPA,True,False,0.2,25,1.8795,2.0898,8.083295453689248,152.21006727218628,6.103515625e-05,0-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,1,2.3505,2.3759,10.760922114008226,153.48015022277832,0.1,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,2,2.1890,2.2677,9.65679036907852,153.3791959285736,0.1,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,3,2.1401,2.2405,9.39767037698149,148.50341939926147,0.1,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,4,2.1095,2.2507,9.49427315718866,149.60430717468262,0.1,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,5,2.0748,2.2445,9.435437085004326,154.45040225982666,0.025,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,6,2.0617,2.2337,9.33456444172549,153.31757307052612,0.00625,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,7,2.0599,2.2357,9.352733553265939,156.02045822143555,0.00625,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,8,2.0572,2.2290,9.29099258042952,152.47709965705872,0.0015625,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,9,2.0557,2.2289,9.28982748708594,153.05027842521667,0.0015625,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,10,2.0552,2.2288,9.288385720254817,152.38894152641296,0.000390625,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,11,2.0547,2.2282,9.282913030485197,152.10255694389343,0.000390625,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,12,2.0552,2.2284,9.285420946252357,151.87192940711975,0.000390625,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,13,2.0544,2.2283,9.284325171563916,154.32166194915771,9.765625e-05,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,14,2.0537,2.2282,9.283342404888414,154.06380915641785,2.44140625e-05,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,15,2.0538,2.2282,9.283028118583216,154.55964970588684,6.103515625e-06,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,16,2.0540,2.2282,9.28284442095177,153.94940280914307,1.52587890625e-06,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,17,2.0538,2.2282,9.282724908781956,156.38465809822083,3.814697265625e-07,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,18,2.0543,2.2282,9.282722695608138,149.68645763397217,9.5367431640625e-08,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,19,2.0543,2.2282,9.282722695608138,156.32691431045532,2.384185791015625e-08,1-0
