answer,rt,expName,participant,contrast,language,item,experimentType,word,contrast_location,moras,prof
1,2.218553066,abx,l2_1,s,l2,1,presential ,gaki,1,2,N2
1,1.302084923,abx,l2_1,a,l2,2,presential ,oKU,2,2,N2
1,1.502625227,abx,l2_1,v,l2,3,presential ,rubi,2,2,N2
1,2.201733112,abx,l2_1,s,l2,4,presential ,kenkou,1,3,N2
1,1.801515102,abx,l2_1,v,l2,5,presential ,kato,1,2,N2
1,1.81921792,abx,l2_1,a,l2,6,presential ,kaERU,2,3,N2
1,1.485347033,abx,l2_1,v,l2,7,presential ,rubi,2,2,N2
1,1.669041157,abx,l2_1,s,l2,8,presential ,kakkou,1,4,N2
1,1.451509953,abx,l2_1,s,l2,9,presential ,gaki,1,2,N2
1,1.501782894,abx,l2_1,s,l2,10,presential ,garasu,1,3,N2
1,1.401319027,abx,l2_1,v,l2,11,presential ,seito,1,3,N2
1,1.3681252,abx,l2_1,v,l2,12,presential ,biru,1,2,N2
1,1.884627104,abx,l2_1,a,l2,13,presential ,iSHI,2,2,N2
1,2.03563118,abx,l2_1,v,l2,14,presential ,sayu,2,2,N2
1,1.451999903,abx,l2_1,a,l2,15,presential ,HAshi,1,2,N2
1,1.419634104,abx,l2_1,a,l2,16,presential ,kaMI,2,2,N2
1,1.369379997,abx,l2_1,a,l2,17,presential ,iCHI,2,2,N2
1,1.385780096,abx,l2_1,v,l2,18,presential ,rikaa,2,3,N2
1,1.469630003,abx,l2_1,a,l2,19,presential ,KAmi,2,2,N2
1,1.434875011,abx,l2_1,v,l2,20,presential ,kaado,1,3,N2
1,1.585434914,abx,l2_1,a,l2,21,presential ,aME,2,2,N2
1,2.618598223,abx,l2_1,s,l2,22,presential ,gantan,1,4,N2
1,1.468883038,abx,l2_1,a,l2,23,presential ,saKE,2,2,N2
1,1.735126972,abx,l2_1,a,l2,24,presential ,haSHI,2,2,N2
1,1.36864996,abx,l2_1,s,l2,25,presential ,ginkou,1,4,N2
1,1.369338989,abx,l2_1,a,l2,26,presential ,iCHI,2,2,N2
1,1.602010012,abx,l2_1,a,l2,27,presential ,aME,2,2,N2
1,1.401386976,abx,l2_1,a,l2,28,presential ,saKE,2,2,N2
1,1.352482796,abx,l2_1,s,l2,29,presential ,kamu,1,2,N2
1,2.252038002,abx,l2_1,s,l2,30,presential ,kaado,1,3,N2
1,1.485008955,abx,l2_1,s,l2,31,presential ,gaado,1,3,N2
1,1.386301994,abx,l2_1,v,l2,32,presential ,yuuri,1,3,N2
1,1.716877937,abx,l2_1,v,l2,33,presential ,yuri,1,2,N2
1,1.369293928,abx,l2_1,a,l2,34,presential ,kuRASU,2,3,N2
1,1.50149107,abx,l2_1,s,l2,35,presential ,kenkou,1,3,N2
1,1.319427967,abx,l2_1,v,l2,36,presential ,biiru,1,3,N2
1,1.301514149,abx,l2_1,a,l2,37,presential ,kaERU,2,3,N2
1,3.486963987,abx,l2_1,s,l2,38,presential ,kaikoku,1,4,N2
1,1.401232004,abx,l2_1,v,l2,39,presential ,rika,2,2,N2
1,1.318801165,abx,l2_1,s,l2,40,presential ,genkou,1,4,N2
1,1.301990986,abx,l2_1,s,l2,41,presential ,kaki,1,2,N2
1,1.351654053,abx,l2_1,s,l2,42,presential ,gaado,1,3,N2
1,1.318245888,abx,l2_1,a,l2,43,presential ,Oku,1,2,N2
